Type,vCPU-:-MEM(GB)
t2.nano,1-:-0.5
t2.micro,1-:-1
t2.small,1-:-2
t2.medium,2-:-4
t2.large,2-:-8
t2.xlarge,4-:-16
t2.2xlarge,8-:-32
t3.nano,2-:-0.5
t3.micro,2-:-1
t3.small,2-:-2
t3.medium,2-:-4
t3.large,2-:-8
t3.xlarge,4-:-16
t3.2xlarge,8-:-32
t3a.nano,2-:-0.5
t3a.micro,2-:-1
t3a.small,2-:-2
t3a.medium,2-:-4
t3a.large,2-:-8
t3a.xlarge,4-:-16
t3a.2xlarge,8-:-32
c4.large,2-:-3.75
c4.xlarge,4-:-7.5
c4.2xlarge,8-:-15
c4.4xlarge,16-:-30
c4.8xlarge,36-:-60
c5.large,2-:-4
c5.xlarge,4-:-8
c5.2xlarge,8-:-16
c5.4xlarge,16-:-32
c5.9xlarge,36-:-72
c5.12xlarge,48-:-96
c5.18xlarge,72-:-144
c5.24xlarge,96-:-192
c5.metal,96-:-192
c5d.large,2-:-4
c5d.xlarge,4-:-8
c5d.2xlarge,8-:-16
c5d.4xlarge,16-:-32
c5d.9xlarge,36-:-72
c5d.18xlarge,72-:-144
c5d.metal,96-:-192
d2.xlarge,4-:-30.5
d2.2xlarge,8-:-61
d2.4xlarge,16-:-122
d2.8xlarge,36-:-244
g4dn.xlarge,4-:-16
g4dn.2xlarge,8-:-32
g4dn.4xlarge,16-:-64
g4dn.8xlarge,32-:-128
g4dn.12xlarge,48-:-192
g4dn.16xlarge,64-:-256
i3.large,2-:-15.25
i3.xlarge,4-:-30.5
i3.2xlarge,8-:-61
i3.4xlarge,16-:-122
i3.8xlarge,32-:-244
i3.16xlarge,64-:-488
m4.large,2-:-8
m4.xlarge,4-:-16
m4.2xlarge,8-:-32
m4.4xlarge,16-:-64
m4.10xlarge,40-:-160
m4.16xlarge,64-:-256
m5.large,2-:-8
m5.xlarge,4-:-16
m5.2xlarge,8-:-32
m5.4xlarge,16-:-64
m5.8xlarge,32-:-128
m5.12xlarge,48-:-192
m5.16xlarge,64-:-256
m5.24xlarge,96-:-384
m5.metal,96-:-384
m5a.large,2-:-8
m5a.xlarge,4-:-16
m5a.2xlarge,8-:-32
m5a.4xlarge,16-:-64
m5a.8xlarge,32-:-128
m5a.12xlarge,48-:-192
m5a.16xlarge,64-:-256
m5a.24xlarge,96-:-384
m5d.large,2-:-8
m5d.xlarge,4-:-16
m5d.2xlarge,8-:-32
m5d.4xlarge,16-:-64
m5d.8xlarge,32-:-128
m5d.12xlarge,48-:-192
m5d.16xlarge,64-:-256
m5d.24xlarge,96-:-384
m5d.metal,96-:-384
p3.2xlarge,8-:-61
p3.8xlarge,32-:-244
p3.16xlarge,64-:-488
r4.large,2-:-15.25
r4.xlarge,4-:-30.5
r4.2xlarge,8-:-61
r4.4xlarge,16-:-122
r4.8xlarge,32-:-244
r4.16xlarge,64-:-488
r5.large,2-:-16
r5.xlarge,4-:-32
r5.2xlarge,8-:-64
r5.4xlarge,16-:-128
r5.8xlarge,32-:-256
r5.12xlarge,48-:-384
r5.16xlarge,64-:-512
r5.24xlarge,96-:-768
r5.metal,96-:-768
r5a.large,2-:-16
r5a.xlarge,4-:-32
r5a.2xlarge,8-:-64
r5a.4xlarge,16-:-128
r5a.8xlarge,32-:-256
r5a.12xlarge,48-:-384
r5a.16xlarge,64-:-512
r5a.24xlarge,96-:-768
r5d.large,2-:-16
r5d.xlarge,4-:-32
r5d.2xlarge,8-:-64
r5d.4xlarge,16-:-128
r5d.8xlarge,32-:-256
r5d.12xlarge,48-:-384
r5d.16xlarge,64-:-512
r5d.24xlarge,96-:-768
r5d.metal,96-:-768
x1.16xlarge,64-:-976
x1.32xlarge,128-:-1952
z1d.large,2-:-16
z1d.xlarge,4-:-32
z1d.2xlarge,8-:-64
z1d.3xlarge,12-:-96
z1d.6xlarge,24-:-192
z1d.12xlarge,48-:-384
z1d.metal,48-:-384
